,MSFT,UNH
,NVDA,PEP
Date,,
2022-01-05,-0.4916854618647774,-0.8629400039021957
2022-01-06,-1.0573485461129357,-1.8593328912434623
2022-01-07,-0.5210369219095822,-2.44729717161957
2022-01-10,-0.5840835731365506,-2.1491141006990024
2022-01-11,-0.7478132373276413,-1.9362085542898817
2022-01-12,-0.5276153032936017,-1.6663368613623053
2022-01-13,-1.0495041644997067,-2.0311859172285978
2022-01-14,-0.7262703216456405,-2.253462848932487
2022-01-18,-0.8840958324247812,-2.3060262318261633
2022-01-19,-0.3500328477998081,-2.4740667694707406
2022-01-20,-0.006508666524840308,-2.2029688545558015
2022-01-21,-0.11764294013001342,-2.3477851710133946
2022-01-24,-0.08325470622985263,-2.1201387329535786
2022-01-25,-0.26834553910969533,-2.0003117196290843
2022-01-26,0.28556473066174326,-1.569252033487803
2022-01-27,1.0549297563648352,-1.381705468508556
2022-01-28,1.377874685604428,-1.804592089883011
2022-01-31,0.723561424070381,-1.649043708650562
2022-02-01,0.42130147262179357,-1.6243709257061598
2022-02-02,0.5434785000245835,-1.673265316264989
2022-02-03,0.07220210851840328,-1.2102985083568267
2022-02-04,0.32371175665548807,-0.9254715571087636
2022-02-07,-0.3933600540167476,-0.7668564187362668
2022-02-08,-0.2525797372939,-0.3287617242615845
2022-02-09,-0.49488996138404295,-0.08180938730153443
2022-02-10,-0.866332386965861,0.05230073248421207
2022-02-11,-0.5360984306976714,-0.4123602905663428
2022-02-14,-0.7178526782179996,-0.23010109115355765
2022-02-15,-1.4285090317293723,0.1029945659793031
2022-02-16,-1.4717881703085434,0.12653276150889198
2022-02-17,-1.2111149702363948,-0.44012700459108217
2022-02-18,-1.0019631487778167,-0.7519611991575709
2022-02-22,-0.8816259710823207,-1.1381022222992525
2022-02-23,-1.0513132356060484,-0.9572716674422811
2022-02-24,-0.4081115907863064,-0.5762903479874162
2022-02-25,-0.3701090925290229,-0.4908092419621329
2022-02-28,-0.352464973789685,0.41906938597340415
2022-03-01,-0.2212529392593994,0.7242071884034216
2022-03-02,-0.1251997431246918,0.7362598987413923
2022-03-03,-0.26092870580863714,0.8302626458438567
2022-03-04,-0.42005729145722304,0.9388675163881928
2022-03-07,-0.607901407354753,1.0048799350216822
2022-03-08,-0.9986072627739313,1.2414885535340923
2022-03-09,-0.5970491179288485,1.9310573639606947
2022-03-10,-0.6833116351298297,2.7873558690530857
2022-03-11,-0.9125272908116921,2.588036968599987
2022-03-14,-0.8378251573040086,2.41432498238794
2022-03-15,-0.7065132682364623,2.29872341007361
2022-03-16,-0.8483724601718202,2.1787698137505
2022-03-17,-0.9179972857446385,2.3690188427733148
2022-03-18,-1.3506683268777722,1.9617064358096197
2022-03-21,-1.6323832007273766,2.083012224424449
2022-03-22,-1.0343892456032122,1.6181760051972374
2022-03-23,-0.9847566226370712,1.6834111371941742
2022-03-24,-1.9399524095449754,1.9954210650876671
2022-03-25,-1.7249674172180975,1.8231501706468403
2022-03-28,-1.3313100655060979,1.7354712417613292
2022-03-29,-1.1138299873083788,1.130851874342808
2022-03-30,-0.7255239826163887,1.6751688941384117
2022-03-31,-1.0438220999953507,1.2520903698444361
2022-04-01,-0.6139102377938302,0.9150095614242378
2022-04-04,-0.43208821662414876,0.8741286966319022
2022-04-05,-0.033888514821495706,1.221777811624659
2022-04-06,-0.29746843907549525,1.3472331446866226
2022-04-07,-0.0027674435533074923,1.5731319860903976
2022-04-08,0.17484527812509254,1.9051988853921966
2022-04-11,-0.30119788210251663,1.58757822678874
2022-04-12,-0.38400924739141534,1.2657596226288819
2022-04-13,-0.22973269668382462,1.4873641707666099
2022-04-14,-0.46510893886488835,1.5952199586025388
2022-04-18,-0.6910987225784198,1.8488443623318391
2022-04-19,-0.45445014218492064,1.54160747963948
2022-04-20,0.04998065346113242,1.4487833255036329
2022-04-21,0.23228983864088282,1.1483134058365772
2022-04-22,-0.05897650272460058,0.859455312761529
2022-04-25,0.3806351893445886,0.7124111855387848
2022-04-26,-0.025968585909661647,0.2796877483774232
2022-04-27,1.4575319312593644,-0.02278489796007549
2022-04-28,1.3215416253971404,-0.01750871719297621
2022-04-29,0.8247221196533568,0.33272396896489426
2022-05-02,0.954782495521998,0.7411933275402735
2022-05-03,0.6523877366067714,0.6203868774569095
2022-05-04,1.0471123096104,-0.13490930809702123
2022-05-05,0.6419265005162924,-0.09268965416668115
2022-05-06,0.4795226245161386,0.1458221020040956
2022-05-09,0.44898657169929157,-0.7602389654370316
2022-05-10,0.5707133392365835,-0.6404018989383776
2022-05-11,0.2327611359293283,-0.5696593463369801
2022-05-12,-0.022691251007223735,-0.8823222197212546
2022-05-13,-0.31318384561399576,-1.206832652603025
2022-05-16,-0.028689278486833038,-1.3610085505950829
2022-05-17,-0.017642459242316905,-0.9991751202867947
2022-05-18,-0.5159717324697931,0.07423438276243097
2022-05-19,-0.7124071822313787,0.9094351152788605
2022-05-20,-0.5289042765842359,1.066610102428881
2022-05-23,0.15220446329629617,0.7160119884263922
2022-05-24,0.4671047309717422,0.5518016425771631
2022-05-25,0.29295312791096834,0.3525093390829672
2022-05-26,0.1352083210143413,0.3337873624291581
2022-05-27,0.3197400680803599,0.24970262379504965
2022-05-31,0.2628225341325481,0.5269348403849037
2022-06-01,0.5137735217977542,0.5647381734530028
2022-06-02,0.01460863730833217,0.28578056634137244
2022-06-03,0.054125697995014155,0.31811537497833814
2022-06-06,-0.1076257846016036,0.40798319155092316
2022-06-07,0.18267940152580456,0.548948513189828
2022-06-08,0.13052198049435723,0.5362106804048297
2022-06-09,-0.08622114892761226,0.9158788053956357
2022-06-10,-0.6452599726741762,0.7297255985603525
2022-06-13,-0.9575759798806703,0.5399898982912191
2022-06-14,-0.8441189277254396,0.861476118117538
2022-06-15,-0.5160840539147543,0.6593511893187907
2022-06-16,-0.665457623667217,0.48221280583427084
2022-06-17,-0.5581173073509812,0.2761902240685924
2022-06-21,-0.3432820884333828,0.9586405489190493
2022-06-22,-0.2879931095961881,1.1627455229969983
2022-06-23,0.35077122890999357,1.256977834768428
2022-06-24,0.7156390456947203,0.6490735195392145
2022-06-27,0.5832072857554633,1.1031599951885338
2022-06-28,0.25277156335854434,1.703262899804176
2022-06-29,0.8704936505299535,1.5271409079995721
2022-06-30,0.7476076802556757,1.4376757201749655
2022-07-01,1.3737312820528806,1.0858007761585322
2022-07-05,1.4484451242285694,0.5570469484167846
2022-07-06,1.6858463051593935,0.7223494210099272
2022-07-07,1.493829115803747,0.744298885125752
2022-07-08,1.4322855744654113,0.6551808123286536
2022-07-11,1.506439716141382,0.8501916054349009
2022-07-12,0.48007105448199505,0.916106833970996
2022-07-13,0.340815358747501,0.14319951223733388
2022-07-14,0.358132504092244,0.028516560025780523
2022-07-15,0.3994461752669571,1.3574034846724652
2022-07-18,-0.033002186704157666,1.4067488329203057
2022-07-19,-0.012470496197664854,1.750437939607029
2022-07-20,-0.19909422777611735,1.4117139384914532
2022-07-21,-0.08242893449322267,1.5108132858273415
2022-07-22,-0.113832424091477,1.2414623755649234
2022-07-25,-0.09918743930822489,1.5942800185406325
2022-07-26,-0.5056832616917964,1.3085592547615696
2022-07-27,0.4463865211916701,1.5059052559844488
2022-07-28,1.0917841111272935,1.2057633806538903
2022-07-29,1.4172587787834274,1.22428076584132
2022-08-01,0.9933815731128116,0.4857340016270062
2022-08-02,0.6322676186627377,0.7780058503498811
2022-08-03,1.1789058398299197,0.7711023814010693
2022-08-04,1.1147510086601078,0.6180568936009877
2022-08-05,1.1684488500939132,0.9437521222943499
2022-08-08,1.5829719783523106,1.1584511907740964
2022-08-09,2.1731339080453487,1.0628675241645305
2022-08-10,2.2818369313255955,0.8013547287377536
2022-08-11,2.1582020607695562,0.7377585678533624
2022-08-12,2.2097629399487086,0.8238106050427858
2022-08-15,2.1824013311388746,0.4854214858474339
2022-08-16,2.193290192849417,0.3535522275877221
2022-08-17,2.421783438803318,0.3176894896447637
2022-08-18,2.0634633385798287,0.2930641942140578
2022-08-19,2.184414139408156,0.49240663536871293
2022-08-22,1.8129317068910191,0.645847326058621
2022-08-23,1.60165132964611,0.22618633759961188
2022-08-24,1.5146836798528196,0.0832213580019816
2022-08-25,1.4295260885742525,0.33496925177992276
2022-08-26,1.2943918112919903,0.5585171438390326
2022-08-29,1.2694583993340167,0.6929443943286351
2022-08-30,1.2331411210772583,0.645042648548058
2022-08-31,1.2946185275756426,0.6129266684905729
2022-09-01,1.8365072576001216,0.5008937754723785
2022-09-02,1.5712386701164487,0.5563968253627442
2022-09-06,1.3962647586558596,0.8510626570561405
2022-09-07,1.7314432806091027,0.30618474145766006
2022-09-08,1.619340171157939,0.710971896827305
2022-09-09,1.9822871545485945,0.5259214185318898
2022-09-12,2.1319758866178278,0.7349303382116203
2022-09-13,1.4568241362320884,1.1638804691150861
2022-09-14,1.481157522396945,0.70271062349606
2022-09-15,0.9187544654703055,1.9138292939829316
2022-09-16,0.7051725695901708,1.6030050165384164
2022-09-19,0.580529013751309,1.3791483176696941
2022-09-20,0.491906311410133,1.3040194147954975
2022-09-21,0.09956975577915093,0.8654862013186017
2022-09-22,0.6912739635062286,1.1016521717740466
2022-09-23,0.4150293299201339,0.9257876313501032
2022-09-26,0.5299074571859013,0.678204235603167
2022-09-27,0.32393028351818537,1.1637580713395093
2022-09-28,0.6022042988506672,0.9124097428208489
2022-09-29,0.5393067713152992,1.067396093956362
2022-09-30,0.13151533436245813,1.5445719983317572
2022-10-03,0.6950531428061218,1.6704700336144618
